,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Meulaboh,96.1285,96.1285,76.93,87,90,4.74,ID,1618953795
1,Nikolskoye,30.7861,30.7861,44.6,42,0,8.95,RU,1618953795
2,Fortuna,-124.1573,-124.1573,54.0,93,90,12.66,US,1618953796
3,Mayo,-76.5119,-76.5119,73.99,43,1,14.97,US,1618953796
4,Puerto Ayora,-90.3518,-90.3518,82.4,74,20,11.5,EC,1618953797
5,Vaini,-175.2,-175.2,82.4,78,20,5.75,TO,1618953797
6,Vila Franca do Campo,-25.4333,-25.4333,62.6,94,40,11.5,PT,1618953797
7,Bethel,-73.414,-73.414,73.4,27,1,17.27,US,1618953798
8,Sarakhs,61.1577,61.1577,66.2,42,86,2.3,IR,1618953798
9,Erdenet,104.0833,104.0833,47.16,28,0,4.68,MN,1618953799
10,Punta Arenas,-70.9167,-70.9167,48.2,53,20,17.27,CL,1618953779
11,Cape Town,18.4232,18.4232,61.0,88,0,6.91,ZA,1618953778
12,Ushuaia,-68.3,-68.3,46.4,61,0,5.53,AR,1618953793
13,Lorengau,147.2712,147.2712,81.57,78,100,9.24,PG,1618953800
14,Kahului,-156.47,-156.47,82.4,57,40,10.36,US,1618953598
15,Carnarvon,113.6333,113.6333,66.2,68,0,9.22,AU,1618953800
16,Hermanus,19.2345,19.2345,61.0,83,100,4.0,ZA,1618953801
17,Samarai,150.6667,150.6667,82.53,78,61,9.35,PG,1618953801
18,Port Elizabeth,25.5701,25.5701,62.6,94,0,8.05,ZA,1618953801
19,Aksu,80.2644,80.2644,60.53,34,11,7.11,CN,1618953802
20,Coquimbo,-71.3436,-71.3436,64.4,55,40,13.8,CL,1618953538
21,Faya,42.4509,42.4509,60.8,47,20,3.74,SA,1618953565
22,Ayr,-4.6339,-4.6339,48.2,87,0,3.44,GB,1618953607
23,Alofi,-169.9187,-169.9187,84.2,79,75,11.5,NU,1618953803
24,Qaanaaq,-69.3632,-69.3632,1.78,75,100,5.64,GL,1618953803
25,Río Gallegos,-69.2181,-69.2181,53.6,43,0,14.97,AR,1618953804
26,Huazhou,110.5833,110.5833,73.38,92,71,10.22,CN,1618953604
27,Mehamn,27.8492,27.8492,41.0,65,0,17.27,NO,1618953804
28,Port-Cartier,-66.8654,-66.8654,43.0,81,100,6.91,CA,1618953805
29,Hithadhoo,73.0833,73.0833,82.13,67,91,5.37,MV,1618953805
30,Raudeberg,5.1352,5.1352,39.0,92,100,11.21,NO,1618953806
31,Cidreira,-50.2056,-50.2056,69.78,76,9,14.36,BR,1618953806
32,Dukat,155.55,155.55,21.22,97,100,8.37,RU,1618953807
33,Constitución,-72.4167,-72.4167,58.17,88,100,21.12,CL,1618953807
34,Neiafu,-173.9833,-173.9833,82.4,78,40,5.75,TO,1618953807
35,Russell,-85.1999,-85.1999,78.8,29,1,4.61,US,1618953808
36,Tiksi,128.8694,128.8694,10.38,95,100,11.52,RU,1618953808
37,Busselton,115.3333,115.3333,45.0,90,4,1.99,AU,1618953809
38,Auki,160.7034,160.7034,81.55,77,96,3.65,SB,1618953809
39,Bluff,168.3333,168.3333,51.66,80,57,8.23,NZ,1618953809
40,Asău,26.4,26.4,45.0,59,96,4.12,RO,1618953810
41,Mahébourg,57.7,57.7,77.0,94,75,11.5,MU,1618953810
42,Basco,121.9702,121.9702,76.19,84,100,31.21,PH,1618953811
43,Santa Maria,-53.8069,-53.8069,73.4,60,0,9.22,BR,1618953811
44,Erenhot,111.9767,111.9767,57.9,30,100,13.4,CN,1618953811
45,Matamoros,-103.25,-103.25,82.4,17,1,4.61,MX,1618953812
46,Lebu,-73.65,-73.65,55.42,95,100,8.01,CL,1618953822
47,Ikalamavony,46.5833,46.5833,65.05,82,100,6.38,MG,1618953823
48,Mar del Plata,-57.5575,-57.5575,68.0,83,0,19.57,AR,1618953823
49,Uruguaiana,-57.0883,-57.0883,82.4,44,0,9.22,BR,1618953823
50,Hilo,-155.09,-155.09,84.2,51,40,12.66,US,1618953796
51,Flinders,150.8552,150.8552,57.99,64,24,5.01,AU,1618953824
52,Ngunguru,174.5,174.5,60.01,98,11,4.0,NZ,1618953825
53,Bambous Virieux,57.7575,57.7575,77.0,94,75,11.5,MU,1618953825
54,Mataura,168.8643,168.8643,48.52,78,8,2.62,NZ,1618953826
55,Barrow,-156.7887,-156.7887,17.6,67,1,14.97,US,1618953826
56,Chokurdakh,147.9167,147.9167,21.15,96,100,3.8,RU,1618953826
57,George Town,100.3354,100.3354,81.0,89,20,3.44,MY,1618953762
58,Talcahuano,-73.1167,-73.1167,55.4,100,90,3.44,CL,1618953545
59,Rusape,32.1284,32.1284,55.0,80,98,3.91,ZW,1618953827
60,Rikitea,-134.9692,-134.9692,77.41,72,41,4.79,PF,1618953828
61,Atuona,-139.0333,-139.0333,80.58,70,3,18.28,PF,1618953828
62,Tuktoyaktuk,-133.0374,-133.0374,19.4,86,90,28.77,CA,1618953828
63,Albany,-73.9662,-73.9662,57.0,49,96,8.61,US,1618953717
64,Okha,142.9478,142.9478,32.02,96,100,7.65,RU,1618953829
65,Akhmīm,31.745,31.745,93.2,24,0,14.97,EG,1618953830
66,Bachaquero,-71.1494,-71.1494,88.68,49,83,8.97,VE,1618953830
67,Saint-Augustin,-58.6502,-58.6502,46.27,52,82,10.96,CA,1618953830
68,Vardø,31.1107,31.1107,46.4,53,0,19.57,NO,1618953831
69,Karratha,116.8463,116.8463,75.18,49,2,4.12,AU,1618953831
70,Khatanga,102.5,102.5,-14.71,99,100,1.81,RU,1618953831
71,Lázaro Cárdenas,-102.2,-102.2,83.64,40,99,9.86,MX,1618953832
72,Corrente,-43.3394,-43.3394,73.76,94,80,1.03,BR,1618953832
73,Chui,-53.4616,-53.4616,66.38,69,6,9.84,UY,1618953833
74,Ostrovnoy,39.5131,39.5131,34.81,68,0,22.17,RU,1618953833
75,Esperance,121.9,121.9,53.6,94,40,4.61,AU,1618953833
76,Yellowknife,-114.3525,-114.3525,42.8,52,20,8.05,CA,1618953834
77,Ledec,15.5937,15.5937,46.0,87,0,3.44,CZ,1618953834
78,Lüderitz,15.1594,15.1594,69.21,62,8,7.27,NA,1618953835
79,Acajutla,-89.8275,-89.8275,89.6,48,40,6.91,SV,1618953835
80,Norman Wells,-126.8329,-126.8329,33.8,69,75,20.71,CA,1618953836
81,Batagay,134.6333,134.6333,9.41,97,99,2.17,RU,1618953836
82,Taltal,-70.4833,-70.4833,63.63,75,89,6.38,CL,1618953836
83,Noumea,166.4572,166.4572,75.99,88,0,2.3,NC,1618953837
84,Dalby,151.2667,151.2667,63.0,80,0,1.01,AU,1618953837
85,Havelock,-76.9013,-76.9013,70.0,37,40,11.5,US,1618953838
86,Darhan,105.9228,105.9228,37.22,63,0,8.01,MN,1618953838
87,Eyl,49.8164,49.8164,82.18,78,77,11.23,SO,1618953838
88,Kuril'sk,147.8833,147.8833,32.09,96,99,23.17,RU,1618953839
89,Vao,167.4833,167.4833,73.2,64,45,8.52,NC,1618953840
90,Havre-St-Pierre,-63.5986,-63.5986,42.8,75,90,8.05,CA,1618953850
91,Hasaki,140.8333,140.8333,51.8,93,20,2.3,JP,1618953851
92,Ves'yegonsk,37.2604,37.2604,40.19,67,97,11.3,RU,1618953851
93,Kavieng,150.7967,150.7967,82.33,74,100,3.51,PG,1618953851
94,Upernavik,-56.1549,-56.1549,13.33,80,98,1.52,GL,1618953852
95,Mahon,4.2658,4.2658,55.4,94,20,10.36,ES,1618953852
96,Sistranda,8.834,8.834,39.2,93,75,10.36,NO,1618953853
97,Port Alfred,26.891,26.891,66.34,84,89,17.96,ZA,1618953853
98,Longyearbyen,15.6401,15.6401,26.6,74,75,13.8,SJ,1618953853
99,Hobart,147.3294,147.3294,39.2,81,20,10.36,AU,1618953619
100,Salinópolis,-47.3561,-47.3561,78.24,85,93,7.49,BR,1618953854
101,Northam,-4.2167,-4.2167,48.0,74,98,1.99,GB,1618953854
102,Kjøpsvik,16.3742,16.3742,46.4,71,75,6.91,NO,1618953855
103,Chumikan,135.315,135.315,26.6,77,5,14.29,RU,1618953855
104,Kununurra,128.7333,128.7333,64.4,100,18,3.44,AU,1618953856
105,Sakakah,40.2064,40.2064,80.6,12,0,9.22,SA,1618953856
106,Ulaanbaatar,106.8832,106.8832,26.6,68,0,2.24,MN,1618953857
107,Seymchan,152.4333,152.4333,28.04,76,59,6.96,RU,1618953857
108,São Filipe,-24.4956,-24.4956,73.36,73,100,12.71,CV,1618953857
109,Jamestown,-79.2353,-79.2353,39.99,65,90,12.66,US,1618953612
110,Ribeira Grande,-28.7,-28.7,64.4,88,40,16.11,PT,1618953858
111,Villa Altagracia,-70.171,-70.171,86.0,62,20,13.8,DO,1618953789
112,Plettenberg Bay,23.3716,23.3716,65.3,78,10,2.53,ZA,1618953564
113,Adamantas,24.4333,24.4333,55.4,82,8,4.61,GR,1618953859
114,San Patricio,-97.5169,-97.5169,86.0,30,1,6.91,US,1618953859
115,Olafsvik,-23.7142,-23.7142,39.54,76,37,11.16,IS,1618953860
116,Nome,-165.4064,-165.4064,32.0,59,1,5.75,US,1618953860
117,Saint-Philippe,55.7679,55.7679,75.2,94,90,11.5,RE,1618953860
118,Airai,125.4092,125.4092,57.06,90,83,1.1,TL,1618953861
119,Linxia Chengguanzhen,103.2064,103.2064,51.4,62,100,2.06,CN,1618953861
120,Biscarrosse,-1.1672,-1.1672,51.8,87,0,2.3,FR,1618953862
121,Cherskiy,161.3,161.3,34.43,70,31,20.65,RU,1618953862
122,Dakar,-17.4441,-17.4441,69.8,88,20,9.22,SN,1618953663
123,Oranjemund,16.4333,16.4333,60.71,92,5,3.31,NA,1618953863
124,Baykit,96.37,96.37,17.02,96,100,3.44,RU,1618953863
125,Pyaozerskiy,31.1667,31.1667,33.66,93,16,4.97,RU,1618953864
126,Dikson,80.5464,80.5464,5.47,90,100,19.75,RU,1618953864
127,Nikolayevka,47.2041,47.2041,42.08,56,100,21.5,RU,1618953864
128,Nanortalik,-45.2371,-45.2371,34.48,77,100,7.81,GL,1618953865
129,Cabo San Lucas,-109.9124,-109.9124,82.99,36,1,11.5,MX,1618953695
130,Kondinskoye,67.41,67.41,29.25,93,21,6.15,RU,1618953865
131,Pisco,-76.2167,-76.2167,71.6,73,4,27.63,PE,1618953866
132,Kirakira,161.9205,161.9205,82.53,79,75,6.8,SB,1618953866
133,Saskylakh,114.0833,114.0833,-17.07,100,87,2.26,RU,1618953867
134,Nuevo Ideal,-105.0728,-105.0728,75.47,10,0,6.58,MX,1618953867
135,Bredasdorp,20.0403,20.0403,53.6,94,99,4.16,ZA,1618953867
136,Soyo,12.3689,12.3689,78.84,85,99,9.51,AO,1618953868
137,Kaitangata,169.8464,169.8464,50.43,74,8,5.03,NZ,1618953878
138,Ixtapa,-105.2,-105.2,82.4,61,1,14.97,MX,1618953878
139,Kansanshi,26.4273,26.4273,62.1,82,100,3.62,ZM,1618953879
140,San Vicente,-54.1333,-54.1333,71.38,48,34,2.82,AR,1618953879
141,Severo-Kuril'sk,156.125,156.125,34.68,95,99,20.07,RU,1618953880
142,Khovd,91.6419,91.6419,46.2,48,47,4.97,MN,1618953880
143,Bathsheba,-59.5167,-59.5167,82.4,54,40,20.71,BB,1618953881
144,Zabul Province,67.25,67.25,53.42,51,0,5.79,AF,1618953881
145,Saint-Pierre,55.4781,55.4781,75.2,94,90,11.5,RE,1618953882
146,Castro,-50.0119,-50.0119,62.6,74,36,5.61,BR,1618953882
147,Pindiga,10.9333,10.9333,90.64,26,100,10.65,NG,1618953847
148,Iqaluit,-68.5145,-68.5145,24.8,80,90,25.32,CA,1618953883
149,Ormylia,23.55,23.55,55.99,90,85,1.03,GR,1618953883
150,Rockport,-97.0544,-97.0544,77.0,60,1,13.8,US,1618953692
151,Butaritari,172.7902,172.7902,81.5,77,100,17.92,KI,1618953884
152,Talnakh,88.3972,88.3972,-11.43,86,68,1.59,RU,1618953884
153,Zavyalovo,82.4484,82.4484,26.6,59,0,11.18,RU,1618953884
154,Parintins,-56.7358,-56.7358,77.83,93,75,2.77,BR,1618953885
155,Camacha,-16.3333,-16.3333,62.6,77,40,4.61,PT,1618953885
156,Tiarei,-149.3333,-149.3333,86.0,66,75,5.75,PF,1618953886
157,Sri Aman,111.4621,111.4621,73.4,94,69,1.28,MY,1618953886
158,São Raimundo das Mangabeiras,-45.4811,-45.4811,76.6,81,100,2.44,BR,1618953886
159,Anito,125.2886,125.2886,77.2,87,100,8.88,PH,1618953887
160,Rocha,-54.3333,-54.3333,64.29,78,4,10.16,UY,1618953887
161,Ponta do Sol,-17.1,-17.1,62.01,71,94,1.01,PT,1618953887
162,Popondetta,148.2534,148.2534,76.06,83,69,2.35,PG,1618953888
163,São João da Barra,-41.0511,-41.0511,80.6,65,40,6.91,BR,1618953888
164,Tasiilaq,-37.6368,-37.6368,26.51,75,97,4.38,GL,1618953889
165,Verkhoyansk,133.385,133.385,5.94,99,86,3.24,RU,1618953889
166,Ambon City,128.1814,128.1814,80.78,77,98,2.06,ID,1618953889
167,Labuhan,112.2051,112.2051,75.27,83,83,5.75,ID,1618953890
168,Port Hardy,-127.4199,-127.4199,53.6,76,40,11.5,CA,1618953849
169,Fairbanks,-147.7164,-147.7164,41.0,36,1,10.36,US,1618953890
170,Province of Mantua,10.7833,10.7833,53.01,68,7,3.0,IT,1618953891
171,Fort Morgan,-103.8,-103.8,39.2,35,90,16.11,US,1618953630
172,San Jerónimo,-75.2829,-75.2829,60.82,54,51,8.88,PE,1618953891
173,Namatanai,152.4333,152.4333,81.28,79,100,7.02,PG,1618953892
174,Kangaba,-8.4167,-8.4167,96.46,21,90,1.28,ML,1618953892
175,Villamontes,-63.5,-63.5,79.02,72,100,1.63,BO,1618953893
176,Vredendal,18.5012,18.5012,66.7,59,2,2.82,ZA,1618953893
177,Nemuro,145.575,145.575,36.82,62,60,10.49,JP,1618953894
178,Weligama,80.4167,80.4167,77.23,88,94,6.17,LK,1618953894
179,Williamsport,-77.0011,-77.0011,66.2,37,20,8.05,US,1618953876
180,Chortkiv,25.798,25.798,48.99,64,84,5.73,UA,1618953895
181,Alta Floresta,-56.0861,-56.0861,89.6,55,20,1.14,BR,1618953895
182,Kamień Pomorski,14.7726,14.7726,41.0,93,40,5.75,PL,1618953896
183,Tatvan,42.2817,42.2817,55.36,57,20,8.23,TR,1618953906
184,Linfen,111.5189,111.5189,57.49,80,100,3.74,CN,1618953906
185,Rāwah,41.9093,41.9093,84.74,19,98,14.7,IQ,1618953907
186,East London,27.9116,27.9116,66.02,84,50,13.87,ZA,1618953907
187,Chapais,-74.8492,-74.8492,35.6,55,75,14.97,CA,1618953908
188,Juquiá,-47.6347,-47.6347,66.52,97,90,2.39,BR,1618953908
189,Coyhaique,-72.0662,-72.0662,51.8,62,75,10.36,CL,1618953663
190,Port Pirie,138.0167,138.0167,44.6,87,0,4.61,AU,1618953909
191,Bara,10.7288,10.7288,89.15,21,93,4.74,NG,1618953909
192,Andover,-1.4825,-1.4825,50.0,66,20,3.44,GB,1618953910
193,Kapaa,-159.319,-159.319,79.0,78,75,10.36,US,1618953910
194,Petropavlovsk-Kamchatskiy,158.6483,158.6483,33.8,100,90,2.24,RU,1618953910
195,Isla Mujeres,-86.731,-86.731,86.0,70,40,14.97,MX,1618953911
196,Thompson,-97.8558,-97.8558,33.8,69,90,12.66,CA,1618953911
197,Dandong,124.3947,124.3947,48.18,77,11,2.28,CN,1618953912
198,Poum,164.0167,164.0167,77.59,81,93,8.23,NC,1618953912
199,Malakal,31.6605,31.6605,89.96,29,75,4.21,SS,1618953912
200,Dunedin,170.5036,170.5036,54.16,64,7,3.4,NZ,1618953709
201,Husavik,-17.3389,-17.3389,39.2,56,20,13.8,IS,1618953913
202,Hervey Bay,152.8535,152.8535,69.01,74,32,1.01,AU,1618953913
203,Grindavik,-22.4338,-22.4338,35.6,75,75,6.91,IS,1618953914
204,Richards Bay,32.0377,32.0377,68.18,85,77,3.67,ZA,1618953696
205,Faanui,-151.75,-151.75,81.73,72,48,12.3,PF,1618953914
206,Saint Paul Harbor,-152.4072,-152.4072,44.6,81,40,8.05,US,1618953915
207,Calama,-68.9333,-68.9333,68.0,17,0,23.02,CL,1618953915
208,Shellbrook,-106.4011,-106.4011,46.4,25,75,8.05,CA,1618953916
209,Nantucket,-70.0995,-70.0995,55.4,67,1,18.41,US,1618953692
210,Messina,15.5497,15.5497,54.0,76,40,2.3,IT,1618953914
211,Dolgoye,37.2167,37.2167,37.9,93,100,10.83,RU,1618953916
212,Wanning,110.3967,110.3967,76.95,85,89,9.91,CN,1618953917
213,Fukuechō,128.8419,128.8419,61.57,58,27,5.44,JP,1618953917
214,Harper,-7.7169,-7.7169,81.59,80,65,7.85,LR,1618953918
215,Acaraú,-40.12,-40.12,78.55,82,61,8.21,BR,1618953918
216,Yakovlevka,133.4772,133.4772,36.12,42,1,3.04,RU,1618953918
217,Caucaia,-38.6531,-38.6531,82.4,78,0,4.61,BR,1618953919
218,Ukiah,-123.2078,-123.2078,68.0,42,1,8.05,US,1618953919
219,Benghazi,20.0667,20.0667,60.42,65,0,10.38,LY,1618953920
220,Muzhi,64.6667,64.6667,24.84,94,52,5.75,RU,1618953920
221,Longyan,117.0225,117.0225,60.3,84,1,1.01,CN,1618953920
222,Acapulco de Juárez,-99.8901,-99.8901,86.0,62,40,3.44,MX,1618953773
223,Matara,80.5353,80.5353,76.87,89,88,6.51,LK,1618953921
224,Yumen,97.2,97.2,54.36,24,61,7.67,CN,1618953921
225,Sampit,112.95,112.95,72.36,89,94,0.56,ID,1618953922
226,Mazatlán,-106.4167,-106.4167,84.2,54,1,9.22,MX,1618953922
227,Puerto Escondido,-97.0667,-97.0667,87.8,70,40,10.36,MX,1618953923
228,Pacific Grove,-121.9166,-121.9166,57.2,67,90,14.97,US,1618953923
229,Bonney Lake,-122.1865,-122.1865,73.0,30,1,4.61,US,1618953923
230,Payo,103.6372,103.6372,71.56,97,98,1.99,ID,1618953924
231,Nelson Bay,152.15,152.15,60.01,55,0,17.27,AU,1618953934
232,Srīvardhan,73.0167,73.0167,79.14,76,78,7.45,IN,1618953935
233,Khani,42.9566,42.9566,55.4,100,20,4.61,GE,1618953935
234,Olinda,-34.8553,-34.8553,80.6,74,40,5.75,BR,1618953640
235,Geraldton,114.6,114.6,66.2,59,0,18.41,AU,1618953936
236,Arona,-16.681,-16.681,68.0,68,20,17.27,ES,1618953936
237,Turbat,63.044,63.044,82.31,33,0,1.92,PK,1618953936
238,Madimba,40.3333,40.3333,73.4,94,75,14.97,TZ,1618953937
239,Mahibadhoo,72.9667,72.9667,82.62,66,42,7.78,MV,1618953674
240,Champerico,-91.9167,-91.9167,91.4,70,40,6.91,GT,1618953938
241,Orsha,30.4053,30.4053,40.39,94,100,6.35,BY,1618953938
242,Pevek,170.3133,170.3133,25.52,68,32,19.37,RU,1618953939
243,Porto-Novo,2.6036,2.6036,82.4,83,20,8.05,BJ,1618953939
244,Half Moon Bay,-122.4286,-122.4286,59.0,82,90,20.71,US,1618953939
245,Walvis Bay,14.5053,14.5053,82.4,30,13,11.5,NA,1618953940
246,Aklavik,-135.0107,-135.0107,23.0,74,90,13.8,CA,1618953940
247,Ponta Delgada,-25.6667,-25.6667,62.6,94,40,11.5,PT,1618953837
248,Bontang,117.5,117.5,76.64,89,100,7.14,ID,1618953941
249,Arraial do Cabo,-42.0278,-42.0278,75.2,78,0,34.52,BR,1618953941
250,Mana,-53.7767,-53.7767,76.46,90,100,9.86,GF,1618953942
251,Khorramabad,48.3558,48.3558,70.52,32,97,1.74,IR,1618953942
252,Westerland,8.3033,8.3033,44.6,93,1,11.5,DE,1618953942
253,Puerto Baquerizo Moreno,-89.6,-89.6,82.4,74,40,9.22,EC,1618953943
254,Hokitika,170.9667,170.9667,54.34,69,99,3.29,NZ,1618953943
255,Shahrud,54.9763,54.9763,65.77,37,63,2.3,IR,1618953944
256,Emba,58.1442,58.1442,34.05,45,29,11.54,KZ,1618953944
257,Grootfontein,18.1167,18.1167,50.0,76,0,5.93,NA,1618953945
258,Nynäshamn,17.9479,17.9479,41.0,45,76,3.44,SE,1618953945
259,Lagoa,-27.9833,-27.9833,61.23,89,99,19.04,PT,1618953945
260,Monrovia,-10.7969,-10.7969,80.6,89,40,6.17,LR,1618953946
261,Mandalgovi,106.2708,106.2708,50.76,27,98,8.25,MN,1618953946
262,Zhigansk,123.3711,123.3711,-3.77,99,73,5.97,RU,1618953947
263,Hangu,117.7892,117.7892,55.4,82,100,1.21,CN,1618953947
264,Panabá,-88.2667,-88.2667,82.26,70,99,10.94,MX,1618953675
265,Kutum,24.6667,24.6667,79.75,8,3,11.63,SD,1618953948
266,Urusha,122.9,122.9,22.59,79,54,5.08,RU,1618953948
267,Mogadishu,45.3438,45.3438,82.87,74,64,12.28,SO,1618953948
268,Mikhaylovka,43.2379,43.2379,57.99,91,97,10.0,RU,1618953949
269,Ahipara,173.1667,173.1667,63.63,90,24,2.62,NZ,1618953949
270,Yerbogachën,108.0108,108.0108,19.69,95,100,4.92,RU,1618953914
271,Seoul,126.9778,126.9778,46.4,93,90,1.07,KR,1618953805
272,Byron Bay,153.6167,153.6167,57.2,100,0,4.81,AU,1618953950
273,Redcliffe,153.0973,153.0973,66.2,82,0,9.22,AU,1618953951
274,Chake Chake,39.7666,39.7666,76.84,85,99,13.71,TZ,1618953951
275,Matagami,-77.6328,-77.6328,19.4,86,90,11.5,CA,1618953951
276,Policoro,16.6726,16.6726,46.0,97,39,3.65,IT,1618953952
277,Houma,-90.7195,-90.7195,80.01,41,1,3.44,US,1618953952
278,Fomboni,43.7425,43.7425,82.26,73,100,15.82,KM,1618953963
